waypoint_id,x,y,z
0,-1.9950,-0.4950,0.0000
1,-1.8450,-0.4950,0.0000
2,-1.6950,-0.6450,0.0000
3,-1.5450,-0.6450,0.0000
4,-0.4450,-1.7450,0.0000
5,-0.3450,-1.7450,0.0000
6,-0.2950,-1.7950,0.0000
7,-0.0950,-1.7950,0.0000
8,-0.0450,-1.8450,0.0000
9,0.0550,-1.8450,0.0000
10,0.1050,-1.8950,0.0000
11,0.3050,-1.8950,0.0000
12,0.5050,-2.0950,0.0000
13,0.5550,-2.0950,0.0000
14,0.7550,-2.2950,0.0000
15,0.8550,-2.2950,0.0000
16,0.9050,-2.3450,0.0000
17,2.3550,-2.3450,0.0000
18,3.2550,-1.4450,0.0000
19,3.6550,-1.4450,0.0000
20,4.0050,-1.0950,0.0000
